Original	Translation
aaa934b94197dda8	Obtido ao alcançar o posto Pétalas Caídas na Arena 1v1
3eca25fd7de29aae	Buscador da Luz
f8784f613f8b4e47	Desbloqueie completando as missões de Capítulo Perdido
101c1b5180b84b33	Obtido através do progresso de status dentro do Seita da Agulha de Prata.
1499850c6c5ac051	Alguém ligou o Celeiro Sempre-Normal e a Piscina Jinming secretamente?
5bd2d3d57d95835e	As Contas do Eco compradas em $T(9001) são visíveis e utilizáveis apenas em $T(9001).
d4b5ed85fe4b8c71	Volume I - Qiu Yuehai
517ce3b7739ec57c	Não se preocupe, senhor. Se for realmente algo valioso, temos uma sala privada preparada para você nos fundos!
1d5d51143e47429e	#ffffffFalha ao interrogar primeiro, a chance de envenenamento com esta bebida #E#ff8181aumenta#E.
bee58c8a30c4a0f3	Restaura pontos de bônus de Orvalho quando você está dentro do alcance de um clone de água que você criou.
2ec3aa95ac00e4f4	"Desbloqueia o título de herói ""Corações Unidos""."
588c08766f7ab77c	E esses novos controles de preços são uma coisa boa. Já era hora!
18306fd62d0aab8e	Sinergia de equipe em Arte Marcial e Artes Internas aumenta as taxas de sucesso.
d85de3e0ce979e90	Próximas Artes Místicas
24ac4f867cafd7ff	Uma jovem no Covil dos Ratos?
4dc007fe99443a75	Requer 10 Fragmentos para compreender totalmente esta Arte Interna.\n#HHabilidade Passiva:#E A Habilidade Carregada [Carga Sem Lar] de [Espada Sem Nome] agora libera adicionalmente múltiplos qi de espada.
fad1420f1721d751	Falando nisso, devo um agradecimento àquele Rei do Jogo dos Nove Caminhos Mortais.
9d45fbda9d3d59df	Diamante
f46d1087cbb921ce	#YNo limite de nível do personagem#E, o EXP excedente é armazenado. #YApós um novo limite de nível ser desbloqueado#E, os ganhos de EXP reembolsam uma parte do EXP armazenado até ser totalmente resgatado.
aab9ff1ff1c91231	"Hum. Já ouviu o ditado, ""os ricos banquetiam enquanto os pobres passam fome""? Sabe o que significa?"
7f4807ac39342ae1	Complete o Quadro de Rumores – Recompensa do Curandeiro para receber!
9e88d36bdb38e57d	"Pergunte mais sobre ""Sr. Jiang Yi, cuja canção vale mil peças de ouro"""
dd14eb060b9d3e9b	Continuem assim, irmãos!
7e17093f9789ebca	Não há muitas informações, mas pela Tia Han e pela segurança do mundo, estou pronto para dar o meu melhor!
e9c00691e6dc9c4f	Osso Quebrado
778ec947859108a9	Feng Rusong expressa gratidão e começa a ponderar cuidadosamente.
fa868224689a5ddc	Cause 160% de dano e aumente a chance de Língua Afiada em 2 acúmulos (70%), até 6 acúmulos.
cb9c1271cee0ad48	Ei, por que não mostrar aquela coisa para o Mestre Pu? Ele com certeza saberá o que é!
8413bfec18916c2e	Exposto
9faae6d5cadab7ff	Revolta do Submundo: Parte II
76963ee6681e294a	Não vou.
df2df7f5dcba7600	Pergunta
b735e9bdd0ed6c5e	Hein? Chá grátis? Bebam à vontade, irmãos!
fb152a929d9c8e3e	#HLíngua Afiada Redução de Dano#E.
e1e21dc386ffd838	Derrote #YMestre Fantasma#E no Reino do Herói sem ser atingido por 'Trilha Desvanecida' e 'Abismo da Alma', ou bloqueie com sucesso cada conjuração de 'Extinção Eterna'.
faf41f8b64adc153	Obtido através do progresso de status dentro do Seita da Agulha de Prata.
df35c73bf6a2af82	"A poeira baixa, nenhum traço do velho amigo permanece. O jovem mestre, junto com muitos outros, foi ""enterrado"" naquela noite de pesadelo. No final, até mesmo imortais não puderam transportar aqueles que aqui habitavam."
a5b65202bb03624f	O presente de Qiao Sanlang para #YFang Wenxiu#E. Se você se disfarçar de Wenxiu, será que ele vai perceber?\nEmbora não tenha sido feito por uma donzela, o sachê é delicadamente confeccionado.\nQuando o ouro encontra o jade, um único encontro supera uma vida inteira.
4933183d38aae618	Pergunte por mais detalhes sobre os 'Fogos de Artifício Dançantes'
0b01d7d8ad643206	Uma condição desenvolvida a partir de doenças viscerais. #RA Defesa é reduzida em 3%, a Velocidade de Movimento enquanto montado é reduzida em 6%#E.
46ad54c117995b21	"Uma Marionete dos Sonhos carrega um pingente com o motivo ""Grou Segurando Lingzhi"". Apenas metade do lingzhi permanece."
e514bc2e322f5c37	Oito anos atrás, o Sol Entrelaçado, o Celeiro da Abundância, foi devastado por uma praga mortal. A Vila do Campo da Tristeza, perto da Floresta do Véu de Névoa, sofreu o pior, salva apenas pelos esforços árduos da médica Agulha de Prata, que conteve o fungo venenoso dentro da Floresta do Véu de Névoa.\nChegando à Vila do Campo da Tristeza, a névoa envolve o ar, as ruas estão vazias e os pátios permanecem silenciosos. Apenas a sombra de um monstro pisca entrando e saindo de vista. Uma inspeção mais próxima revela que os aldeões parecem esconder um segredo sombrio, com todas as pistas apontando para o santuário da vila. Após muitas provações, a chave do salão é encontrada - apenas para descobrir que as paredes estão cobertas pelo mesmo fungo venenoso.\nAo tocar uma tabuleta memorial no santuário, um transe desce, mergulhando alguém em uma memória misteriosa. Assim, a origem desta vila abandonada e uma saga de doze anos de amor e ódio se desdobra.
e1114aa96500783d	{com_huashu_recoverhp_icon_96} Recupera PV em #G74%#E do Dano de Refutação a cada Argumento bem-sucedido.
0cc795ffb7964b45	Seu oponente está te avaliando.
61227e7cc7fda7cc	O Chefe Qian expressa gratidão e começa a ponderar cuidadosamente.
9c344bf5e04ce031	Revolta do Submundo: Parte I
3143de8525e9f5d4	Ouvi dizer que o Mestre do Rio em Kaifeng pode realmente comandar dragões!
eb03b16790949890	#efe5d9Patrono Yanyun
51ded6636c77cedc	Bandido
d03395fbb8fe761e	Proteja os espectadores e impeça O Rei do Vazio de completar suas mil mortes!
61fe821627c22d3e	Requer Nível 32 e conclusão do Capítulo Perdido [Partindo]
453c987f3df78d87	Yueniang reflete sobre suas palavras e agradece a você.
6d893beed3104885	A carta revela a preocupação da corte com a conivência do Mestre do Rio com os Khitan. Descubra mais sobre o remetente.
a740880c2ebecc8e	Plano de Fundo - Pose
e7472d68db910e19	O general? Isso não pode ser. Vê aquela torre lá embaixo? É a Torre dos Pecados, onde todos os criminosos estão trancados.
b605b86a4dd0b61f	Muito obrigado, $T(2011), por vir me socorrer!
11b97c78b4d83b7f	Dez mil fios. Dez anos. Uma lâmina. Uma tecelagem da meia-noite—furtividade para o assassino, silêncio para o segredo.
7226cc3a5683d53d	O estame do Jasmim, usado para o Avanço da Arte Mística.
a23ae5b7331f0f83	diariamente às {T}
c4bd923cbb12f18e	Arte Marcial Interna de Atributo
19f029d822bfd883	Após a Primeira Floração do Vento Leste, fica a famosa Rua das Damas.
7af8e484c9848fb6	Estamos ficando com pouca farinha e perila...
615439af1607bfc4	Caçada à Recompensa
e763fbbe8f3b0426	Buscar um vínculo
166d407b5111e28b	"Desbloqueia o título de herói ""Um Passo à Frente""."
7222e9e4800e8402	Obtido após completar a Missão Secundária - Noite dos Nove Mortais
aa9ea7d75f44b8af	Que os negócios sejam prósperos daqui para frente!
f9dbe65f88ccca55	Fazer birra daquelas vai assustar as criancinhas! Não é bom, de jeito nenhum!
d6670c12f5da0f82	Seu oponente está te avaliando.
b3843d8b51fc268b	No momento da vitória, todas as outras peças foram declaradas como Pungs ou Kongs, apenas uma peça permanece na mão. Não conta como uma mão de Todos Pungs.
dd62335ee1533dc8	"Pergunte mais sobre ""uma medida desesperada"""
eb40530496ece26d	Miau Miau - Prova da Arte Mística
b3c2b50786e02a8e	Zhao Silu quer se juntar ao Grupo Mascarado — ajude-a a praticar suas falas! (Responda corretamente 5 vezes para passar)
e757b5ba23df21e3	"Através de tempestades furiosas e chuvas intensas, você convoca toda sua força para arrastar a ""Marca dos Quatro Mares"", a lendária besta guardiã, das profundezas do Rio Amarelo.\nUm raio rasga a noite enquanto o Mestre do Rio aparece no meio do temporal, pronto para confrontá-lo.\nO Céu Caído parece ""despertar"" nesta noite chuvosa, cantando louvores ao retorno do herói"
7ea275bb6e864bf9	Seu oponente está avaliando seu relacionamento.
cfa375be787a9344	Por favor, aceite esta pequena demonstração da minha gratidão, $T(2011).
12f283a6f3bb839f	Cortar um vínculo é um grande tabu para os membros da Nuvem Solitária.\n· Um corte de vínculo negociado resulta em uma penalidade de #R-30#E de Valor Preceito e uma proibição de 1 semana da promoção de seita.\n· Um corte de vínculo unilateral resulta em uma penalidade de #R-100#E de Valor Preceito e uma proibição de 2 semanas da promoção de seita.\n· A promoção da Nuvem Solitária ainda não está disponível.
dfb628a18c01f1e8	Zhen Huo se vira e começa a apresentar suas mercadorias para outros clientes.
f73f671f180c3cc0	Primeira vez que vejo o Governador pessoalmente... tão solene...
1db393a9d684db8f	Celeiro Sempre-Normal
230d997f89dc5cc6	Ji Shuiyun avistou alguns truques bizarros de perda de peso na Primeira Flor do Vento Leste. Pergunte a ela o que são.
31d378956291434e	O Senhor do Dao supervisionou a construção de uma rota secreta de grãos sob o Mercado da Luz Fantasma, transportando secretamente comida do Celeiro Eterno para o subsolo da cidade para proteger o povo de Kaifeng da fome.
2aa9d174592da72d	Para deter a campanha ao sul de Zhao-Song, Gongzi abordou figuras como Shi Shouxin, conhecidas por seu desejo de marchar para o norte. Ele os instou a não entregar seus fundos de guerra a Zhao Guangyi. Embora Shi permanecesse cético, o destino ofereceu outra chance — Murong Yanzhao confiou a Dama Murong Yuan a ele, e através disso, Gongzi conseguiu uma reunião com ela. Revelando a verdade por trás da morte de seu pai, ele comoveu seu coração. Ela se arrependeu de seu envolvimento na construção dos navios de guerra e concordou em auxiliar no 'Roubo da Embarcação Fabricadora de Ouro'. No final, ela destruiu com as próprias mãos o poderoso Navio de Guerra Cinco-Fang.
89e4528933c1d672	Entra em furtividade após uma emboscada bem-sucedida com a Arte Mística do Assassino [Toque da Morte].
8079a12b2b6e5ee3	Pequeno Yuansheng ainda está perseguindo sonhos de fortuna, está na hora de acordá-lo com um banho de água fria. (Tenha sucesso em desbloquear amizade e presentes semanais deste amigo.)
fcc1f5d1bd788a56	Eu decifrei o enigma da Dama das Águas. Acontece que a 'flor rara' na carta não é uma flor, mas um louva-a-deus que se parece com uma!
449e8b21d7fee37e	"Quando os senhores da guerra lutavam pelo domínio, os rios entupiam de ossos e as pragas se multiplicavam. Heróis imploraram ajuda ao imortal; o imortal destruiu sua própria caverna para mostrar determinação, então riu e se juntou aos heróis.\nAnos depois, a maioria das pragas foi erradicada, exceto um demônio-sapo escondido no Abismo Venenoso. O imortal entrou no abismo com a Lâmpada Sempre Acesa para subjugá-lo—quando a lâmpada se apagou, a montanha rachou, fontes jorraram e o demônio foi selado para sempre. O imortal, tendo alcançado a iluminação, ascendeu à imortalidade.\nHeróis comemoraram isso em O Conto do Imortal, e o povo comum ainda acende lâmpadas para adorar a Ursa Maior no primeiro e décimo quinto dia de cada mês lunar, eternamente gratos.\nUma ode diz: ""Só através da adoração pode-se vislumbrar a imortalidade."""
a98823abdd8fee26	Hmm... por que pergunta, senhorita...?
95b91c8535b3011d	Seu oponente está te avaliando.
7840c091f9324a4e	Como pode ser assim? Isso simplesmente não faz sentido.
856224e1e07ad667	Plano de Fundo - Pose
4cea413ed5486090	Ele está procurando um lugar seguro para armazenar suprimentos de comida. (Após o sucesso, você pode fazer amizade com ela e receber presentes semanais desta amiga.)
5cfdb775e103e617	Mo Yuwang, escritor principal do Jianghu Daily, está investigando uma matéria sobre a crescente cultura de relaxamento em Kaifeng.
1bb17d30525e3489	Estamos prestes a fechar em breve, então se você quer alugar algo, é melhor se apressar.
3373f931d2db667b	Seu oponente está te avaliando.
5a980b39fa93a403	Lu Kangge tem investigado alguns contos secretos de Qinghe. Ele escreveu um artigo, apenas para descobrir que algumas das lendas são falsas—ele agora está profundamente desanimado. (Ouça sua história para fazer amizade com ele e receber presentes semanais deste amigo.)
63fe61e54f94b8e0	Arte Interna
ee2f527c0753b9a5	Você verifica sua bolsa de moedas
7999454c3d990bcd	Pode ser usado para Avanço de Arte Interna ou reciclado para #Y5#E ex-líbris. Colete 5 ex-líbris para trocar por uma Dica aleatória.\n\n\n\n#DEfeito Atual:\n\n$P\n\n\n\n#DVisualização de Ascensão:#E\n\n$N
add2cfa1daa2a115	#YUma receita antiga#E \nA página amarelada tem uma grande mancha marrom. Várias linhas de escrita podem ser identificadas: \n\nAs folhas, flores e sementes da trombeta podem ser usadas como remédio. São picantes, quentes, mas tóxicas quando ingeridas inteiras. As flores vão sedar e anestesiar a dor e podem causar dependência se tomadas por longos períodos. \nQuando ingeridas por engano, use estranhice... para neutralizar. \n(O nome da erva está coberto pela mancha e não pode ser identificado.)
793cd29d08f4e7f8	Vermelho faz a primeira jogada. \nDê xeque-mate no rei inimigo para vencer.
528bffa6c06281fa	Acertos bem-sucedidos permitem a liberação rápida e consecutiva de habilidades de artes marciais
0e8e33ea3b4dcb10	Arte Interna - {}
73dfa35f6ad24b28	Fratura óssea e lesão articular, tipicamente causadas por trauma, esmagamento ou quedas, resultando em inchaço, dor, perda parcial ou completa da função do membro, deformidade ou mobilidade anormal.
467973ef306b5a6d	Dano +#G20%#E contra Ye Wanshan (Qi Esgotado)
7f0d5c9cb0cebe2e	Yimo, você está bem? Dê outra olhada. Quem é aquele lá embaixo?
2b2c3d7485f2a63d	A Regulação da Respiração envolve o controle da respiração e energia, enquanto a Arte Interna da Perseguição do Lobo é formada por Marés Ferozes ao observar cada movimento dos lobos e imitar sua respiração. Seus princípios entram em conflito, praticar ambos corre o risco de enlouquecer.
be5baee0238db441	Enquanto o desastre se espalha na ausência do Mestre do Rio, investigue o Salão da Solidão Eterna para descobrir seu legado de controle de enchentes.
0ad6038f6e64c341	Vossa Alteza, no passado, enviou #YDao Ji#E para buscar os talentos do mundo, e hoje, felizmente, não falhei na missão. Encontrei uma dessas pessoas, seu nome é #YTian Ying#E. #YYing#E é naturalmente inteligente, com muita esperteza e astúcia. Viajou sozinho para o norte, adquirindo dez volumes de livros raros, algo não alcançável por pessoas comuns. Portanto, o Primeiro-Ministro Feng o recomendou para ser aceito como #YDiscípulo da Ordem dos Ligados à Tinta#E. #YA Lâmina Pendente#E foi recentemente estabelecida e precisa de indivíduos capazes. Se esta joia for aceita, tornará-se o braço da Lâmina Pendente. Vossa Alteza, Dao Ji respeitosamente submete esta carta.
bb62bef610a98583	Lançar uma Habilidade de Execução de Exaustão restaura PV igual a #Y8%#E do dano causado.
edbc8b5a894be39c	Certo, deixe-me contar um segredo. Os Dois Bandidos realizaram um grande roubo não faz muito tempo e supostamente esconderam o saque em algum lugar por perto.
959288735e13f2d4	Reduz a Resistência necessária para avançar rapidamente com as Artes Místicas de Movimento [Andorinha ao Feixe] durante o pulo em #Y40%#E. Após o pouso, aumenta a Velocidade de Movimento em #Y30%#E por #Y3#E segundos. Restaura PV bônus (#Y1%#E PV Máximo +#Y1.000#E) após derrotar qualquer inimigo.
0c3aea046cb8f24e	Você ouve uma rima peculiar cantada por crianças perto de uma casa nos campos de flores de #Retiro Feliz. Pode conter um segredo. Ouça atentamente e veja que segredo eles podem revelar.
cdbb5d11ecd7f67f	Com isso, posso sustentar meu recém-nascido e minha esposa grávida. Não tenho palavras para agradecer!
ea59b84abcee4cdb	E aí? Como está o gosto?
02d68f74580e1789	A pedido do Mestre, o Mestre do Rio foi encarregado de escoltar a Dama das Águas até Kaifeng.
8e13276a7c624de4	Por que a pressa? Você não pode pegar você mesmo na cozinha?
f3315f37a5badb23	Dona Chen Lian descobriu que seu marido, o Estudioso Hu, está tendo um caso com Xu Meng'er. Ela pede que você se disfarce dela, os pegue em flagrante e o force a assinar os papéis do divórcio.
fe8ccd8c22b450ac	Doutor Tian da Clínica Cuidado Eterno é um velho amigo de Han Xiangxun, e você sabe disso também.
7df90934878bc8e0	"A malária, também conhecida como ""o tremor"", é causada por parasitas da malária, ar tóxico ou exposição ao vento, frio, calor ou umidade. É mais comum no verão e no outono."
1fb6835cdf2bffef	Plena Luz do Dia
e3514c7f3f707228	Fundo: #%s[%s]#E×%d Desbloqueado!
63d10d8c4d658742	Você pergunta tão gentilmente, como posso dizer não? Afinal, você se levanta ao amanhecer para treinar, estuda ao nascer do sol e presta respeitos aos seus pais todas as manhãs—
d987d2f407fe8d19	Dispara!
4ff2b06c43cce546	Ouro - II
417cb3c2fd1224d8	"A leste dos confins de Qinghe jazem ruínas que se estendem por milhas. Este foi outrora o antigo território do Voto do Norte da dinastia anterior. Naqueles dias, quando os Khitan invadiram o Reino do Meio, o Voto do Norte recuou para cá. \nVelhas histórias contam que os guerreiros do Voto do Norte juraram o Juramento Yanyun: ""Prometo proteger esta terra com minha vida"". Agora, ao contemplar estas cidades arruinadas e terras selvagens, quão profundamente isso comove o coração com temor solene."
a1a26709b4e92756	Tch. Quem entrou no Poço de Cinzas nunca voltou.
f73a4f33c76262dd	Lançar uma Habilidade de Execução de Exaustão aumenta o dano em #Y5%#E e restaura PV igual a #Y12%#E do dano causado.
166cd7d85d66395a	Enquanto o desastre se espalha na ausência do Mestre do Rio, investigue o Salão da Solidão Eterna para descobrir seu legado de controle de enchentes.
3655afd3c543958e	Arte Marcial Interna de Atributo
9a3e835ee4595cbd	Alcance o posto Desafiante na Arena.
6e5ccd8c4329bade	O Mestre do Rio se foi, e as inundações assolam a terra. Lá no Salão da Eterna Solidão está um método antigo para deter as águas - nada além do puro poder humano. Passado de geração em geração, prova que até mesmo mortais podem fazer a diferença e deixar uma marca eterna na história.
ecab03af1eb47eda	Mamãe não virá até #Ymeia-noite#E...
7436210feb31c4fe	Então me diga — quem é?
c9ace1fa952f522d	Efeito cosmético para Arte Mística #YSapo Saltitante#E.\nO andarilho imita o sapo sagrado, reunindo tesouros e bênçãos para boa sorte.\nSaltando e girando em um brilho radiante, ele derrama orvalho doce que dá vida e traz paz.\nO sapo dourado espalha tesouros luminescentes, e o andarilho supera toda adversidade.
4860b78c331fe2e9	Obtido participando do Concurso do Deus do Mahjong e acumulando 500.000 fichas
6fb44616ff9cd132	Então veio um sábio em resposta, atravessando as ondas. Alegando ser o Mestre do Rio, ele cortou a corrente turva com sua lâmina, e as águas da enchente recuaram.
d15853d25218adc5	Marionete dos Sonhos, Marionete dos Sonhos do Cogumelo Gélido
cd0503d6b5d93779	Neste dia do ano passado no esplendor, seu rosto e a flor de pêssego coraram em luz mútua. \nNão sei para onde foi aquele rosto bonito, mas as flores de pêssego ainda sorriem na brisa da primavera! \n\nArquivado após se tornar um convidado VIP da Assembleia dos Heróis e cumprir a promessa com #b36c58Bai Rong#E.
c289aecf05946a21	Ei! Quer competir em inteligência com este jovem andarilho? Quem ganhar leva a Arte Interna.
9db3da775eb6180e	Arte Interna: Lâmina do Grito do Trovão
aa3fd3e49ee7bfab	Provavelmente foi para as Treze Câmaras de novo. Eles têm conexões. Melhor não nos envolvermos.
23017706f1b5c950	Arte Interna não configurada
4aa211c72b81086e	Dispara!
342a9865de8641c0	Andarilho, por aqui~ Sou eu, Cauda de Vento!\nCauda de Vento ouviu ótimas notícias e correu para compartilhar com você~\n\nAqui está seu Resumo dos Destaques do Dia 2 (Deslize a imagem para ver mais detalhes do evento):\n1. <LINK id='link2' color='#8c5823' goto_id='60249' is_underline='true'> [Desafio] Campanha: Retiro Feliz - Qianye </LINK> \n2. <LINK id='link3' color='#8c5823' goto_id='60261' is_underline='true'> [Desafio] Campanha: Mar Bodhi - Ye Wanshan </LINK> \n3. <LINK id='link5' color='#8c5823' goto_id='60252' is_underline='true'> [Desafio] Campanha: Chefe de Campo - Yi Dao </LINK> \n4. <LINK id='link6' color='#8c5823' goto_id='60253' is_underline='true'> [Confraria] Arena: Choque de Espadas </LINK> \n<IMAGE id='im1' image_url='https://h72.fp.ps.netease.com/file/677b91752ac774101002e54aPBoqHebR06' size='2010*9252' color='255;255;255')'></IMAGE>\nCauda de Vento tem atividades ainda mais emocionantes para compartilhar, Andarilho! Então aproveite para explorar todas as maravilhas do mundo Yan-Yun~ <LINK id='link1' color='#8c5823' goto_id='60243' is_underline='true'> Estou curioso </LINK>
b7871d0398431feb	Sombra do Orvalho Noturno
