ID	OriginalText
c4ef0bfcf047a540	Reach the Legend I rank in 3v3 Arena.
344241a96ffafe57	He claims to be a martial arts master—listen to his important insights on training. (If you succeed, you'll befriend him and receive weekly gifts.)
0000000000000000	
774566099fadc728	Tuberculosis
e501be8123afff67	Complete the encounter A Toast to Destiny, Part I.
b822cbb0f93c3e91	Fated Match at the List - Fate's Perfect Pair
3675d7922551d9aa	That blasted Qiongqi Master destroyed the Flow Track, and even the Stubborn Heart is failing because of it.
aa24852995f6bf72	Chengshi
0000000000000000	
cbb9006ef1b6cd3d	Inner Way
9874f18733dc549f	Hong Yang expresses gratitude and begins to ponder deeply.
07930b37b8aab9b4	Try your luck
9b39c8dfb55ca6c1	Cannot participate in Hearts in Harmony
974227b4a394abe0	04 Veiled Blades
8a61ec203f909816	Each time Trash Talk is triggered, its trigger chance and damage are increased for the next trigger.
0adfb86309996c2c	The Great Hero wants to buy a pot? Does the Great Hero also need to eat?
ba8c8c8b49653b3e	Hmph, I’ve really seen it all now.
6bd45a6da8d674b0	Gifting this to your partner will grant 10 Partnership Value.
dcaf3373c7366846	Complete the quest Homeward Path
0000000000000000	
87280a4969df3df3	Reach Mythic rank (2,000 points) in 5v5 Arena.
0000000000000000	
c5abb2dd6c754797	Seeking to purchase the Five-fang Warship Diagram. Please come to Ghost Revelry Hall at the third quarter of Zi hour on lunar July 15, if interested. Use a red plum as your signal.
29c19ac62b75abb8	Ten thousand threads, ten years, one blade. Midnight weaves—stealth for the killer, silence for the secret.
7d4de1d12e25c45d	Contains Inner Way Note: Random Chest ×6.
33b0f820d13f8c85	Zhang Dazhuang reflects on your words and bows in gratitude.
e2108bea64632979	"""The first strike knocks back the brave ones, and the second strike defeats heroes. The third strike breaks champions, and the sixth strike conquers the world."" The Sixfold Slash has six strikes, but most people have only seen three because Dugu Yuan, the creator, has only ever used three to defeat everyone he encountered. Well of Heaven also became the best sword master with this technique."
df60777002c50acb	Infernal Twinblades Martial Art Skill Damage Boost
c8d934c008b80901	Press to #Hswitch Weapons#E and use different Martial Art Skills.
0aa80a658af75c1c	Complete the Lost Chapter Collecting: The Way of Crafting.
12c3373eb874aeb3	Contains a random Inner Way Note.\n\nRecommended for #YSilkbind Path#E. Has a chance to obtain Epic #YSilkbind: Jade/Deluge#E Notes, #YLegendary Notes (all paths)#E, or General Notes.
4ed2acc1f3567a2f	Adept
0000000000000000	
6349e19a3210328c	#YSpecial reward: claim in later Main Storys#E
7bee754707b9faf4	Increases the chance to resist Trash Talk, stacking up to 6 times
2e1bf24e52cca0d9	Tablet of A'liye
0000000000000000	
0000000000000000	
aaa934b94197dda8	Reach the Legend I rank in 1v1 Arena.
3eca25fd7de29aae	Moths to a Shimmer
0000000000000000	
0000000000000000	
f8784f613f8b4e47	Unlock by completing Main Story quests
101c1b5180b84b33	Silver Needle Status Promotion Reward
1499850c6c5ac051	Did someone link Ever-Normal Granary and Jinming Pool secretly?
5bd2d3d57d95835e	The Echo Beads purchased on “PlayStation Store” are only visible and usable on “PlayStation Network”.
d4b5ed85fe4b8c71	Volume I: Qiu Yuehai
517ce3b7739ec57c	Don’t worry, sir. If it’s really something valuable, we’ve got a private room ready for you in the back!
1d5d51143e47429e	#ffffffOut-of-turn challenge failed. Pass Out Chance from this drink #E#ff8181increased#E.
bee58c8a30c4a0f3	Restores bonus Dew when you are within the range of a water clone you created.
0000000000000000	
2ec3aa95ac00e4f4	Unlocks the hero title Bonded Hearts.
588c08766f7ab77c	And these new price controls are a good thing. It’s about time!
0000000000000000	
0000000000000000	
18306fd62d0aab8e	Team synergy in Martial Arts and Inner Ways improves success rates.
d85de3e0ce979e90	Next Mystic Skills
24ac4f867cafd7ff	A young woman in the Rat Den?
0000000000000000	
4dc007fe99443a75	Requires 10 Fragments to fully comprehend this Inner Way.\n#HPassive Skill:#E The Charged Skill [Homeless Charge] from [Noname Sword] now additionally releases multiple sword qis.
0000000000000000	
fad1420f1721d751	Speaking of which, I really have to express my Appreciation to that gambling sage from the Nine Mortal Ways.
0000000000000000	
9d45fbda9d3d59df	Veteran
f46d1087cbb921ce	When #Ycharacter level reaches the cap#E, excess EXP is stored. #YOnce the level cap is raised#E, each new EXP gain will also restore a portion of the stored EXP, until it is fully returned.
aab9ff1ff1c91231	Hmph. Ever heard the saying, “the rich feast while the poor go hungry”? Know what that means?
7f4807ac39342ae1	Complete the Martial Billboard – Healer's Bounty to receive!
9e88d36bdb38e57d	"Ask more about ""Mr. Jiang Yi whose song is worth a thousand gold"""
dd14eb060b9d3e9b	Brothers, keep it up!
7e17093f9789ebca	That really isn't a lot to go on, but for Aunt Han and the safety of the world, I'm ready to give it my all!
e9c00691e6dc9c4f	Bone Fracture
778ec947859108a9	Feng Rusong expresses gratitude and begins to ponder deeply.
fa868224689a5ddc	Deal 160% damage and increase Trash Talk chance by 2 stacks (70%), up to 6 stacks.
cb9c1271cee0ad48	Young one, show Master Pu what you found. I'm sure he knows what it is!
8413bfec18916c2e	
0000000000000000	
9faae6d5cadab7ff	Underworld Uprising: Part II
0000000000000000	
76963ee6681e294a	I'm done waiting.
0000000000000000	
0000000000000000	
df2df7f5dcba7600	Challenge
0000000000000000	
0000000000000000	
0000000000000000	
0000000000000000	
0000000000000000	
b735e9bdd0ed6c5e	Hey, free tea, brothers, drink up!
0000000000000000	
0000000000000000	
fb152a929d9c8e3e	Reduce the damage taken from the opponent's #HTrash Talk#E.
e1e21dc386ffd838	"Defeat #YGhost Master#E in Hero's Realm without getting hit by ""Vanished Trail"" and ""Soul Abyss,"" or successfully block every cast of ""Eternal Extinction."""
0000000000000000	
0000000000000000	
0000000000000000	
faf41f8b64adc153	Silver Needle Status Promotion Reward
df35c73bf6a2af82	"The dust settles, no trace of the old friend remains. The young master, along with many others, was ""buried"" on that nightmare of a night. In the end, even immortals could not ferry those who dwelled here."
a5b65202bb03624f	Qiao Sanlang's gift for #YFang Wenxiu#E. If you disguise yourself as Wenxiu, will he be able to tell? \nThe sachet, though not crafted by delicate hands, was sewn with great care by Sanlang.\nWhen gold meets jade, one meeting outshines a lifetime
4933183d38aae618	"Ask for more details about the ""Dancing Fireworks"""
0b01d7d8ad643206	A condition developed from visceral illness. #RDefense is reduced by 3%, Movement Speed while riding is reduced by 6%#E.
46ad54c117995b21	"A Sleeping Puppet carries a pendant with a ""Crane Holding Lingzhi"" motif. Only half of the lingzhi remains."
e514bc2e322f5c37	Eight years ago, Granary of Plenty was ravaged by a deadly plague. Sorrowfield Village by Mistveil Forest suffered the worst, saved only by the strenuous efforts of the Silver Needle doctors, who contained the poisonous fungus within Mistveil Forest.\nArriving at Sorrowfield Village, mist shrouds the air, streets lie empty, and courtyards stand silent. Only the shadowy figure of a monster flickers in and out of view. Closer inspection reveals villagers seem to hide a dark secret, all clues pointing to the village shrine. After much effort, the shrine’s key is obtained, revealing walls overgrown with poisonous fungus.\nTouching a memorial tablet in the shrine triggers a trance, unveiling the origins of this forsaken village and a twelve-year saga of love and hate.
e1114aa96500783d	{com_huashu_recoverhp_icon_96} Recover HP by #G74%#E of Rebuttal Damage after each successful Rebuttal.
0cc795ffb7964b45	Sizing you up...
61227e7cc7fda7cc	Boss Qian expresses gratitude and begins to ponder deeply.
9c344bf5e04ce031	Underworld Uprising: Part I
3143de8525e9f5d4	I heard that the River Deity in Kaifeng can control dragons.
eb03b16790949890	#efe5d9Patron of Winds
0000000000000000	
0000000000000000	
51ded6636c77cedc	Greenwood Bandit
d03395fbb8fe761e	Protect the bystanders and stop the Void King from completing his thousand kills!
61fe821627c22d3e	Requires Level 32 and completing Main Story [Setting Out]
0000000000000000	
453c987f3df78d87	Yueniang reflects on your words and bows in gratitude.
6d893beed3104885	The letter reveals the court's concern over the River Deity's collusion with the Khitan. Find out more about the sender.
a740880c2ebecc8e	Scenario Pose
e7472d68db910e19	The general? That can't be. See that tower down there? That's the Pagoda of Karma where all the criminals are locked up.
b605b86a4dd0b61f	Thank you for your timely help!
11b97c78b4d83b7f	Ten thousand threads, ten years, one blade. Midnight weaves—stealth for the killer, silence for the secret.
7226cc3a5683d53d	The stamen of Jasmine, used for Mystic Skill Breakthrough.
a23ae5b7331f0f83	Daily {T}
0000000000000000	
c4bd923cbb12f18e	Attribute Inner Way
0000000000000000	
19f029d822bfd883	Past the East Wind Herald, it's the famous Lady Street.
0000000000000000	
7af8e484c9848fb6	We’re running low on flour and perilla...
615439af1607bfc4	Bounty Trouble
e763fbbe8f3b0426	Seeking Fate
166d407b5111e28b	Unlocks the hero title One Step Ahead.
7222e9e4800e8402	Completing the Side Story Night of the Nine Mortal.
0000000000000000	
0000000000000000	
aa9ea7d75f44b8af	Next business deal, everything goes smoothly!
0000000000000000	
f9dbe65f88ccca55	Throwin'a tantrum like that's gonna scare the little kids! That's just no good!
0000000000000000	
0000000000000000	
d6670c12f5da0f82	Sizing you up...
b3843d8b51fc268b	At the time of winning, all other tiles have been declared as Pungs or Kongs, only one tile remains in hand. Does not count as an All Pongs hand.
dd62335ee1533dc8	"Ask more about ""a desperate measure"""
eb40530496ece26d	Meow Meow - Mystic Skill Trial
b3c2b50786e02a8e	Zhao Silu wants to join The Masked Troupe. Help her practice her lines! (To pass, answer 5 times correctly.)
e757b5ba23df21e3	"Through raging storms and pounding rain, you summon every ounce of strength to haul the ""Token of the Four Seas,"" the legendary guardian beast, from the depths of the Yellow River. \nA bolt of lightning tears through the night as the River Deity appears amidst the tempest, ready to confront you. \nThe Heavenfall seems to ""awaken"" on this rain-soaked night, singing praises of the hero's return"
7ea275bb6e864bf9	Weighing your bond...
0000000000000000	
0000000000000000	
cfa375be787a9344	Please accept this small token of my gratitude.
12f283a6f3bb839f	Severing a Partnership is a great taboo for members of the Lone Cloud.\n· A negotiated severance of Partnership results in a #R-30#E Precept Value penalty and a 1-week ban from sect promotion.\n· A unilateral severance of Partnership results in a #R-100#E Precept Value penalty and a 2-week ban from sect promotion.\n· Lone Cloud's promotion is not yet available.
0000000000000000	
dfb628a18c01f1e8	Zhen Huo stops paying attention to you and starts introducing his goods to other customers.
f73f671f180c3cc0	This is my first time seeing the Prefect, so imposing...
1db393a9d684db8f	Ever-Normal Granary
230d997f89dc5cc6	Ji Shuiyun spotted some bizarre weight-loss tricks at East Wind Herald. Ask her what they are.
31d378956291434e	The Dao Lord oversaw the construction of a hidden grain route beneath the Ghostlight Market, secretly transporting food from the Ever-Normal Granary into the city's underground to shield Kaifeng's people from famine.
2aa9d174592da72d	"To halt Zhao-Song's southern campaign, Gongzi approached figures like Shi Shouxin, famed for their desire to march north. He urged them not to hand over their war funds to Zhao Guangyi. Though Shi remained skeptical, fate offered another chance—Murong Yanzhao entrusted Lady Murong Yuan to him, and through this, Gongzi secured a meeting with her. Revealing the truth behind her father's death, he moved her heart. She repented her involvement in building the warships and agreed to assist in the ""Gold-Making Vessel Theft."" In the end, she destroyed the mighty Five-Fang Warship with her own hands."
89e4528933c1d672	Enter stealth after a successful ambush with Assassin Mystic Skill [Touch of Death].
8079a12b2b6e5ee3	Little Yuan Sheng is still dreaming of striking it rich. Time to give him a wake-up call and snap him out of it. (If you succeed, you'll befriend him and receive weekly gifts.)
fcc1f5d1bd788a56	"I cracked the Water Lady's riddle. It turns out, the ""rare flower"" in the letter isn't a flower at all, but a mantis that looks like one!"
449e8b21d7fee37e	In the age of chaos after the Liang Dynasty fell, warlords vied for supremacy. So great was the slaughter that rivers were choked with bones, and plague-bearing vermin festered across the land.\n\nA fellowship of heroes begged an immortal for aid. To show their unwavering resolve, the immortal laughed, destroyed their own mountain grotto, and strode forth to join the cause.\n\nYears later, the land was cleansed, save for a single great toad demon lurking in the Poison Abyss. The immortal descended into the depths, bearing the Ever-burning Lamp to suppress the beast. At the climax of their battle, the lamp was extinguished. In its place, a brilliant silhouette appeared as the very mountain shattered and a pure spring erupted forth. The demon was sealed forever in the abyss, which, purified by the sacrifice, was henceforth known as the Gleaming Abyss.\n\nHaving perfected their path, the immortal ascended to the heavens. And in eternal gratitude, the heroes chronicled the epic in the Tales of Immortals. To this day, the common folk honor the sacrifice by lighting lamps and praying to the Big Dipper on the new and full moons.\n\nAn ode commemorates the immortal's lesson: Only through worship can one glimpse immortality.
0000000000000000	
a98823abdd8fee26	Umm... why do you say so, miss...?
0000000000000000	
0000000000000000	
0000000000000000	
0000000000000000	
95b91c8535b3011d	Sizing you up...
7840c091f9324a4e	How could this be? It’s like seeing a Ghost.
856224e1e07ad667	Scenario Pose
4cea413ed5486090	He is looking for a safe place to store food supplies. See if you can help him figure something out. (If you succeed, you'll befriend him and receive weekly gifts.)
0000000000000000	
5cfdb775e103e617	Mo Yuwang, a top correspondent for the Jianghu Daily, is chasing a story about Kaifeng's growing culture of slacking off.
0000000000000000	
1bb17d30525e3489	We’re about to close soon, so if you want to rent something, you'd better hurry.
3373f931d2db667b	Sizing you up...
0000000000000000	
5a980b39fa93a403	Lu Kangge has been digging into secret tales of Qinghe and even finished writing an article—only to discover some legends were fake. He's now deeply disheartened. (After hearing his story, you'll befriend him and receive weekly gifts.)
0000000000000000	
63fe61e54f94b8e0	Inner Way
ee2f527c0753b9a5	You count your coins
7999454c3d990bcd	Can be used for Inner Way Breakthrough or recycled for #Y5#E bookplates. Collect 5 bookplates to exchange for a random Tip.\r\n\r\n#DCurrent Effect:\r\n$P\r\n\r\n#DPreview Ascension:#E\r\n$N
add2cfa1daa2a115	#YAn old prescription#E \nThe yellowed page has a large brown stain on it. Several lines of writing can be identified: \n\nThe leaves, flowers, and seeds of the datura can be used as medicine. They are spicy, warm, but toxic when ingested whole. The flowers will subdue and numb pain and can become addictive if taken over long periods of time. \nWhen ingested by mistake, use oddity... to counter. \n(The name of the herb is covered by the stain and cannot be identified.)
793cd29d08f4e7f8	Red moves first. Capture the opponent's General to win.
528bffa6c06281fa	Successful hits enable the rapid consecutive release of Martial Art Skills
0e8e33ea3b4dcb10	Inner Way - {}
73dfa35f6ad24b28	An injury to the finger bones and joints, commonly caused by trauma or crushing. It typically results in swelling, pain, partial or complete loss of limb function, and may lead to deformity or abnormal mobility.
467973ef306b5a6d	DMG +#G20%#E vs Ye Wanshan in Exhausted state
0000000000000000	
7f0d5c9cb0cebe2e	Yimo, are you okay? Take another look. Who is that down there?
2b2c3d7485f2a63d	Breath Regulation involves control of breath and energy, while Inner Way Wolfchaser's Art is formed by Raging Tides while observing wolves' every motion and mimicking their breath. Their principles clash with each other, practicing both risks driving one mad.
be5baee0238db441	As disaster spreads in the absence of the River Deity, investigate the Eternal Solitude Hall to uncover his legacy of flood control.
0ad6038f6e64c341	Your Highness, in the past, you sent #YDao Ji#E to seek out the talents of the world, and today, thankfully, I have not failed the mission. I have found one such person, his name is #YTian Ying#E. #YYing#E is naturally intelligent, with much wit and cleverness. He traveled north alone, acquiring the Ten Sage's Collection, something not achievable by ordinary people. Therefore, Prime Minister Feng has recommended him to be accepted as a #YInkbound Order Disciple#E. #YThe Hanging Blade#E is newly established and is in need of capable individuals. If this gem is taken in, it will become the arm of the Hanging Blade. Your Highness, Dao Ji respectfully submits this letter.
0000000000000000	
bb62bef610a98583	Casting Exhaustion Execution skill restores HP equal to #Y8%#E of the damage dealt.
edbc8b5a894be39c	Alright, let me tell you a secret. The Bandit Couple pulled off a big heist not long ago and supposedly hid the loot somewhere nearby.
959288735e13f2d4	Reduces the Endurance needed to dash forward with Movement Mystic Skills [Swallow to Beam] while jumping by #Y40%#E. After landing, increases Movement Speed by #Y30%#E for #Y3#E seconds. Restores bonus HP (#Y1%#E Max HP +#Y1,000#E) after defeating any enemy.
0c3aea046cb8f24e	You hear a peculiar rhyme sung by children near a house in Blissful Retreat's Flower Expanse. Listen closely and see what secret it might reveal.
cdbb5d11ecd7f67f	With this, I can support my newborn and my pregnant wife. I can't thank you enough!
ea59b84abcee4cdb	Well? How is it?
02d68f74580e1789	At Master's request, the River Deity was tasked with escorting the Water Lady to Kaifeng.
8e13276a7c624de4	"""Get me this. Get me that."" Go to the kitchen and get it yourselves."
f3315f37a5badb23	Chen Lianniang has discovered her husband, Scholar Hu, is having an affair with Xu Meng'er. She asks you to disguise yourself as her, catch them in the act, and force him to sign the divorce papers.
fe8ccd8c22b450ac	Unfated Tian of the Evercare Clinic is an old friend of Han Xiangxun, and you know that too.
0000000000000000	
7df90934878bc8e0	"Malaria, also known as ""the shakes,"" is caused by malaria parasites, toxic air, or slight fever, cold, heat, or dampness. It's most common in the summer and fall."
1fb6835cdf2bffef	Always Online
e3514c7f3f707228	Scenario Appearance: #%s[%s]#E×%d Unlock!
63d10d8c4d658742	You ask so nicely, how can I say no? After all, you get up before dawn to train, study at sunrise, and pay respects to your parents before breakfast—
d987d2f407fe8d19	Okay, fire away!
4ff2b06c43cce546	Adept II
417cb3c2fd1224d8	"East of the Qinghe's farthest reaches lie ruins that stretch for miles. This was once the former territory of the Northern Vow from the previous dynasty. In those days, when the Khitan invaded the Middle Kingdom, the Northern Vow retreated to Qinghe. From this fortified city, they resisted the Khitan iron cavalry for several months. Regrettably, the city ultimately fell and its people perished, resulting in devastating losses for both sides. Afterward, they engaged in guerrilla warfare throughout the Qinghe region, finally forcing the Khitan invaders to retreat from the Central Plains.\nOld tales tell that the warriors of the Northern Vow once swore the Yanyun Oath: ""I vow to protect this land with my life."" Now, gazing upon these ruined cities and wild lands, how deeply it stirs the heart with solemn awe."
a1a26709b4e92756	Tsk, the one who went into the Ash Pit last time never came back.
f73a4f33c76262dd	Increases the damage of the Exhaustion Execution skill by #Y5%#E. Casting Exhaustion Execution skill also restores HP equal to #Y12%#E of the damage dealt.
166cd7d85d66395a	As disaster spreads in the absence of the River Deity, investigate the Eternal Solitude Hall to uncover his legacy of flood control.
0000000000000000	
0000000000000000	
0000000000000000	
3655afd3c543958e	Attribute Inner Way
9a3e835ee4595cbd	Reach the Master rank in Arena (1v1, 2v2, 3v3). 
6e5ccd8c4329bade	The River Deity is gone, and floods ravage the land. There in the Eternal Solitude Hall lies an ancient method to stop the waters—nothing but plain human power. Passed down through generations, it proves that even mortals can make a difference and leave an eternal mark in history.
ecab03af1eb47eda	Mom won't come 'til #YZi hour#E...
7436210feb31c4fe	Then tell me this...
c9ace1fa952f522d	Cosmetic effect for Mystic Skill #YLeaping Toad#E.\nThe wanderer mimics the sacred toad, gathering treasures and blessings for good fortune.\nLeaping and twirling in a radiant glow, it casts down sweet dew that gives life and brings peace.\nThe golden toad scatters luminescent treasures, and the wanderer overcomes all hardship.\n
4860b78c331fe2e9	Win 500,000 chips in the Mahjong God Contest
6fb44616ff9cd132	Then came a sage in answer, striding across the waves. Claiming to be the River Deity, he cleaved the turbid current with his blade, and the floodwaters receded.
d15853d25218adc5	Sleeping Puppet, Frost Fungus Sleeping Puppet
0000000000000000	
0000000000000000	
cd0503d6b5d93779	On this day last year, her face and the peach blossom blushed in mutual delight.\nI know not whither went that pretty face, but the peach blossoms still smile in the spring breeze!\n\nArchived after becoming a VIP guest of the Heroes Assembly and fulfilling the promise with #b36c58Bai Rong#E.
0000000000000000	
0000000000000000	
c289aecf05946a21	Hey! Care to match wits with this young wanderer? Whoever wins gets the Inner Way.
0000000000000000	
0000000000000000	
9db3da775eb6180e	Inner Way: Thundercry Blade
aa3fd3e49ee7bfab	Most likely went to the Thirteen Pavilions again, they have connections up there, let's not meddle.
23017706f1b5c950	Inner Way not configured
0000000000000000	
4aa211c72b81086e	Okay, fire away!
342a9865de8641c0	Wanderer, over here~ It's me, Windtail!\nWindtail heard some great news and rushed over to share it with you~\n\nHere's your Day 2 Highlights Overview (Swipe the image to see more event details):\n1. <LINK id='link2' color='#8c5823' goto_id='60249' is_underline='true'> [Challenge] Campaign: Blissful Retreat - Qianye </LINK> \n2. <LINK id='link3' color='#8c5823' goto_id='60261' is_underline='true'> [Challenge] Campaign: Bodhi Sea - Ye Wanshan </LINK> \n3. <LINK id='link5' color='#8c5823' goto_id='60252' is_underline='true'> [Challenge] Campaign: Field Boss - Yi Dao </LINK> \n4. <LINK id='link6' color='#8c5823' goto_id='60253' is_underline='true'> [Wandering Paths] Arena: Sword Clash </LINK> \n<IMAGE id='im1' image_url='https://h72.fp.ps.netease.com/file/677b91752ac774101002e54aPBoqHebR06' size='2010*9252' color='255;255;255')'></IMAGE>\nWindtail has even more exciting activities to share, Wanderer! So take your time exploring all the wonders of the Yan-Yun world~ <LINK id='link1' color='#8c5823' goto_id='60243' is_underline='true'> I'm curious </LINK>
b7871d0398431feb	Night Flash's Shadow
05a69749532faae4	Inkbound Order
9ddf3a1703af5e67	"Dealing direct damage, deflecting, or performing a perfect dodge grant you one stack of #HUmbra#E. This effect can trigger once every 3 seconds. At 12 stacks, #HUmbra#E triggers a heavenly thunder to grant you #HThunder Enlightenment - Umbra#E, granting the following enhancement:\nReduce the Endurance cost of Strategic Sword's #YSpecial Skill ""Inner Balance Strike III""#E by 60%.\nIncrease the #Yhigh Bleed damage#E of Inner Way ""Sword Horizon"" 80% and retain 1 stack of Bleed after triggering the high Bleed damage."
2853667172920c9b	Complete the Main Story quest The Wild Shrine
0000000000000000	
0000000000000000	
0000000000000000	
90b38775e7e9b06d	"According to Liezi: The Questions of Tang, ""The Sword of Hidden Light is unseen to the eye, imperceptible in motion, passes through all things without them knowing."""
e208f4314416b515	Release a river lantern and make a wish
0000000000000000	
0000000000000000	
61ffbd14b91b9046	"Ask about the ""dockyard in front of the Revelry Hall"""
687a530a0e818527	Make the acquaintance of the Old Friend: Sangzi
3e34540635066e1b	As disaster spreads in the absence of the River Deity, investigate the Eternal Solitude Hall to uncover his legacy of flood control.
1a8ca53032459cfb	Tian Heng dotes on his daughter Tian Qiao, who burst into tears after being refused your weapon. Now he expects an apology? Try persuading him to see reason. (If you succeed, you'll befriend him and receive weekly gifts.)
0000000000000000	
0000000000000000	
0000000000000000	
0000000000000000	
ce7748de4256d2f6	Mystic Skills upgrades can #Hincrease the power of your Mystic Skills#E. Press to view.
dc43410e33d39be8	"Malaria, also known as ""the shakes,"" is caused by malaria parasites, toxic air, or slight fever, cold, heat, or dampness. It's most common in the summer and fall."
704287815e6342d3	#ede8cfRagin' Tides Bogus Master
0000000000000000	
9e259ff6969b52d0	Vitality is required to cast Mystic Skills. Certain recovery actions (excluding attacking, taking an attack, or deflecting an attack) have a chance to grant bonus Vitality.
cab75ad2745d5aa0	Come take a look! Home supplies, curious treasures, all manner of useful things! There are even wulin scrolls and mystic skills!
074a3adae57dfafe	[Inner Way Collection 2] Comprehend: #YSword Morph#E, #YMountain's Might#E, #YWildfire Spark#E, #YBattle Anthem#E
797b1b0ad99e6f0a	I'm starting to wonder… Did I get it wrong? But forget about that for now. Uncle Yan, what's the deal between this Palace of Annals and Tian Ying? Why did you come here?
0000000000000000	
4d5ab21589ba9985	Seeking Fate (%d/%d)
73cc9df3396bd636	False Accusation: You have been falsely accused.
5391d5a25893c618	Defeat Powerful Enemy: Puppeteer - Curtaincall once ({0}/{1})
b54f64619c7cd831	Initiate #YPartnership severing#E? A #Y24-hour cooling period#E will begin, during which you may #Rcancel the request freely#E.\nLone Cloud Sect Rule: A severe penalty of #Rreduced Discipline Points#E will be incurred after a #YSeverance#E. Please proceed with caution.
cefe07b9309eafcd	Clear Campaign: Ever-Normal Granary.
4dbb1ec7aa82add7	Red moves first.
0000000000000000	
0000000000000000	
6376669bac66dba4	Yan Momo's mother has passed away. She wants to find the most beautiful flower, believing it must be her mother. (After hearing her story, you'll befriend her and receive weekly gifts.)
38a92e4b6914af45	Want some noodles? We’ve got hand-pulled, saucy, and soup noodles!
0000000000000000	
0000000000000000	
ba89413707d6cda2	"""Colossus - Year of the Snake. Born with armored scales, but the mind is dull. Its bones were carved and buried."" — River Deity\vThere's more? This River Deity can't be serious, trying to make a loong, for real? It can't be. \nWeird... feels like someone's following me. Candle's still lit, it hasn't gone out!"
